PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,8.789173,0.066345,13.249896
55.0000,8.384574,0.072992,12.634159
60.0000,8.031147,0.082314,12.096985
65.0000,7.718942,0.095804,11.622975
70.0000,7.440524,0.108235,11.200647
75.0000,7.190208,0.118054,10.821244
80.0000,6.963564,0.129172,10.477955
85.0000,6.757083,0.138467,10.165393
90.0000,6.567942,0.154717,9.879230
95.0000,6.393843,0.169332,9.615949
100.0000,6.232892,0.181515,9.372654
105.0000,6.083513,0.193825,9.146938
110.0000,5.944384,0.204568,8.936781
115.0000,5.814384,0.214677,8.740475
120.0000,5.692555,0.224284,8.556561
125.0000,5.578076,0.233530,8.383789
130.0000,5.470237,0.243423,8.221076
135.0000,5.368420,0.251846,8.067484
140.0000,5.272085,0.257218,7.922191
145.0000,5.180756,0.261249,7.784475
150.0000,5.094014,0.262353,7.653701
155.0000,5.011488,0.262214,7.529303
160.0000,4.932848,0.258626,7.410780
165.0000,4.857796,0.252514,7.297683
170.0000,4.786070,0.244100,7.189612
175.0000,4.717429,0.232220,7.086203
180.0000,4.651660,0.220220,6.987132
185.0000,4.588566,0.208760,6.892104
190.0000,4.527973,0.198353,6.800850
195.0000,4.469718,0.189334,6.713127
200.0000,4.413655,0.182305,6.628714
205.0000,4.359650,0.177144,6.547407
210.0000,4.307580,0.173511,6.469020
215.0000,4.257332,0.172418,6.393383
220.0000,4.208803,0.172069,6.320338
225.0000,4.161896,0.171702,6.249741
230.0000,4.116523,0.171950,6.181458
235.0000,4.072603,0.173010,6.115366
240.0000,4.030059,0.174200,6.051349
245.0000,3.988821,0.175356,5.989301
250.0000,3.948824,0.176913,5.929124
255.0000,3.910006,0.178745,5.870725
260.0000,3.872311,0.180284,5.814018
265.0000,3.835685,0.181626,5.758923
270.0000,3.800079,0.182836,5.705365
275.0000,3.765447,0.183794,5.653275
280.0000,3.731745,0.181894,5.602585
285.0000,3.698932,0.156955,5.553235
290.0000,3.666970,0.176947,5.505167
295.0000,3.635822,0.183869,5.458325
300.0000,3.605454,0.188904,5.412660
305.0000,3.575835,0.193279,5.368121
310.0000,3.546934,0.197420,5.324664
315.0000,3.518723,0.201322,5.282246
320.0000,3.491174,0.204864,5.240826
325.0000,3.464262,0.208143,5.200365
330.0000,3.437964,0.211279,5.160827
335.0000,3.412255,0.214326,5.122177
340.0000,3.387114,0.217329,5.084383
345.0000,3.362521,0.220360,5.047413
350.0000,3.338456,0.223615,5.011238
355.0000,3.314901,0.226860,4.975830
360.0000,3.291837,0.229862,4.941162
365.0000,3.269248,0.232586,4.907209
370.0000,3.247118,0.235111,4.873946
375.0000,3.225431,0.237521,4.841351
380.0000,3.204173,0.239861,4.809400
385.0000,3.183330,0.242140,4.778075
390.0000,3.162888,0.244373,4.747353
395.0000,3.142835,0.246593,4.717216
400.0000,3.123159,0.248889,4.687647
405.0000,3.103848,0.251260,4.658626
410.0000,3.084890,0.253469,4.630138
415.0000,3.066276,0.255481,4.602166
420.0000,3.047995,0.257285,4.574695
425.0000,3.030037,0.258963,4.547710
430.0000,3.012392,0.260554,4.521197
435.0000,2.995052,0.262070,4.495143
440.0000,2.978009,0.263514,4.469534
445.0000,2.961253,0.264937,4.444357
450.0000,2.944776,0.266350,4.419601
455.0000,2.928572,0.267762,4.395255
460.0000,2.912632,0.269013,4.371306
465.0000,2.896950,0.270171,4.347745
470.0000,2.881518,0.271232,4.324560
475.0000,2.866331,0.272187,4.301743
480.0000,2.851381,0.273083,4.279283
485.0000,2.836662,0.273913,4.257171
490.0000,2.822169,0.274673,4.235398
495.0000,2.807896,0.275385,4.213956
500.0000,2.793837,0.276038,4.192837
505.0000,2.779988,0.276648,4.172032
510.0000,2.766342,0.277223,4.151533
515.0000,2.752896,0.277751,4.131334
520.0000,2.739643,0.278230,4.111427
525.0000,2.726580,0.278652,4.091804
530.0000,2.713703,0.279023,4.072460
535.0000,2.701006,0.279356,4.053388
540.0000,2.688485,0.279639,4.034581
545.0000,2.676137,0.279891,4.016034
550.0000,2.663958,0.280103,3.997740
555.0000,2.651943,0.280287,3.979694
560.0000,2.640090,0.280445,3.961890
565.0000,2.628394,0.280595,3.944323
570.0000,2.616852,0.280729,3.926988
575.0000,2.605461,0.280824,3.909879
580.0000,2.594217,0.280890,3.892991
585.0000,2.583118,0.280908,3.876321
590.0000,2.572160,0.280901,3.859863
595.0000,2.561340,0.280859,3.843613
600.0000,2.550656,0.280795,3.827566
605.0000,2.540104,0.280706,3.811719
610.0000,2.529682,0.280599,3.796067
615.0000,2.519388,0.280476,3.780606
620.0000,2.509218,0.280341,3.765333
625.0000,2.499170,0.280195,3.750243
630.0000,2.489242,0.280048,3.735333
635.0000,2.479431,0.279903,3.720600
640.0000,2.469735,0.279786,3.706040
645.0000,2.460153,0.279705,3.691649
650.0000,2.450681,0.279694,3.677425
655.0000,2.441317,0.279822,3.663363
660.0000,2.432060,0.279916,3.649462
665.0000,2.422908,0.279938,3.635718
670.0000,2.413858,0.279894,3.622128
675.0000,2.404909,0.279734,3.608689
680.0000,2.396058,0.279525,3.595399
685.0000,2.387305,0.279245,3.582254
690.0000,2.378647,0.278948,3.569253
695.0000,2.370082,0.278592,3.556392
700.0000,2.361609,0.278217,3.543669
705.0000,2.353226,0.277813,3.531082
710.0000,2.344933,0.277380,3.518628
715.0000,2.336726,0.276929,3.506305
720.0000,2.328604,0.276427,3.494110
725.0000,2.320567,0.275922,3.482042
730.0000,2.312613,0.275364,3.470098
735.0000,2.304739,0.274800,3.458276
740.0000,2.296946,0.274219,3.446574
745.0000,2.289231,0.273628,3.434990
750.0000,2.281593,0.273026,3.423522
755.0000,2.274031,0.272411,3.412168
760.0000,2.266544,0.271788,3.400927
765.0000,2.259131,0.271155,3.389795
770.0000,2.251789,0.270514,3.378773
775.0000,2.244519,0.269868,3.367857
780.0000,2.237319,0.269216,3.357046
785.0000,2.230188,0.268574,3.346339
790.0000,2.223124,0.267956,3.335733
795.0000,2.216127,0.267363,3.325228
800.0000,2.209196,0.266784,3.314821
805.0000,2.202329,0.266230,3.304512
810.0000,2.195526,0.265666,3.294298
815.0000,2.188786,0.265075,3.284178
820.0000,2.182107,0.264443,3.274151
825.0000,2.175489,0.263799,3.264215
830.0000,2.168931,0.263143,3.254369
835.0000,2.162432,0.262474,3.244612
840.0000,2.155991,0.261800,3.234942
845.0000,2.149607,0.261119,3.225357
850.0000,2.143280,0.260434,3.215858
855.0000,2.137008,0.259745,3.206442
860.0000,2.130791,0.259054,3.197108
865.0000,2.124627,0.258399,3.187855
870.0000,2.118517,0.257791,3.178682
875.0000,2.112460,0.257224,3.169588
880.0000,2.106454,0.256690,3.160571
885.0000,2.100499,0.256203,3.151631
890.0000,2.094594,0.255735,3.142767
895.0000,2.088739,0.255236,3.133977
900.0000,2.082932,0.254634,3.125260
905.0000,2.077174,0.254030,3.116615
910.0000,2.071463,0.253426,3.108042
915.0000,2.065799,0.252777,3.099539
920.0000,2.060181,0.252126,3.091106
925.0000,2.054609,0.251467,3.082741
930.0000,2.049082,0.250798,3.074443
935.0000,2.043599,0.250128,3.066212
940.0000,2.038160,0.249448,3.058047
945.0000,2.032764,0.248773,3.049947
950.0000,2.027411,0.248103,3.041911
955.0000,2.022100,0.247446,3.033938
960.0000,2.016830,0.246810,3.026027
965.0000,2.011602,0.246174,3.018178
970.0000,2.006414,0.245539,3.010390
975.0000,2.001265,0.244895,3.002662
980.0000,1.996157,0.244250,2.994993
985.0000,1.991087,0.243580,2.987382
990.0000,1.986055,0.242905,2.979829
995.0000,1.981062,0.242225,2.972334
1000.0000,1.976106,0.241548,2.964894
