PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.030519,10.677247
55.0000,4.000000,0.035277,10.250560
60.0000,4.000000,0.041193,9.881079
65.0000,4.000000,0.048935,9.557406
70.0000,4.000000,0.056737,9.271068
75.0000,4.000000,0.063943,9.015622
80.0000,4.000000,0.071993,8.786069
85.0000,4.000000,0.079623,8.578463
90.0000,4.000000,0.090595,8.389646
95.0000,4.000000,0.101338,8.217054
100.0000,4.000000,0.111399,8.058583
105.0000,4.000000,0.121886,7.912490
110.0000,4.000000,0.131949,7.777311
115.0000,4.000000,0.141984,7.651816
120.0000,4.000000,0.152021,7.534953
125.0000,4.000000,0.162102,7.425825
130.0000,4.000000,0.172783,7.323656
135.0000,4.000000,0.182840,7.227775
140.0000,4.000000,0.191204,7.137595
145.0000,4.000000,0.198780,7.052604
150.0000,4.000000,0.204435,6.972349
155.0000,4.000000,0.209122,6.896431
160.0000,4.000000,0.211223,6.824494
165.0000,4.000000,0.211160,6.756222
170.0000,4.000000,0.208937,6.691334
175.0000,4.000000,0.203475,6.629574
180.0000,4.000000,0.197155,6.570714
185.0000,4.000000,0.190543,6.514549
190.0000,4.000000,0.184134,6.460892
195.0000,4.000000,0.178325,6.409573
200.0000,4.000000,0.173775,6.360438
205.0000,4.000000,0.170530,6.313346
210.0000,4.000000,0.168399,6.268170
215.0000,4.000000,0.168422,6.224790
220.0000,4.000000,0.169029,6.183099
225.0000,4.000000,0.169505,6.142998
230.0000,4.000000,0.170466,6.104395
235.0000,4.000000,0.172133,6.067206
240.0000,4.000000,0.173858,6.031351
245.0000,4.000000,0.175475,5.996760
250.0000,4.000000,0.177427,5.963364
255.0000,4.000000,0.179594,5.931101
260.0000,4.000000,0.181397,5.899913
265.0000,4.000000,0.182929,5.869746
270.0000,4.000000,0.184256,5.840550
275.0000,4.000000,0.185247,5.812277
280.0000,4.000000,0.183145,5.784884
285.0000,4.000000,0.156614,5.758328
290.0000,4.000000,0.177368,5.732572
295.0000,4.000000,0.184351,5.707579
300.0000,4.000000,0.189277,5.683315
305.0000,4.000000,0.193372,5.659748
310.0000,4.000000,0.197886,5.636848
315.0000,4.000000,0.201691,5.614586
320.0000,4.000000,0.204915,5.592935
325.0000,4.000000,0.207701,5.571870
330.0000,4.000000,0.210195,5.551368
335.0000,4.000000,0.212463,5.531406
340.0000,4.000000,0.214561,5.511961
345.0000,4.000000,0.216569,5.493015
350.0000,4.000000,0.218713,5.474547
355.0000,4.000000,0.220710,5.456540
360.0000,4.000000,0.222297,5.438976
365.0000,4.000000,0.223449,5.421838
370.0000,4.000000,0.224256,5.405112
375.0000,4.000000,0.224813,5.388783
380.0000,4.000000,0.225171,5.372835
385.0000,4.000000,0.225344,5.357256
390.0000,4.000000,0.225348,5.342033
395.0000,4.000000,0.225221,5.327154
400.0000,4.000000,0.225067,5.312606
405.0000,4.000000,0.224862,5.298380
410.0000,4.000000,0.224356,5.284464
415.0000,4.000000,0.223516,5.270847
420.0000,4.000000,0.222340,5.257521
425.0000,4.000000,0.220923,5.244476
430.0000,4.000000,0.219312,5.231703
435.0000,4.000000,0.217524,5.219194
440.0000,4.000000,0.215566,5.206940
445.0000,4.000000,0.213497,5.194933
450.0000,4.000000,0.211328,5.183166
455.0000,4.000000,0.209068,5.171633
460.0000,4.000000,0.206554,5.160325
465.0000,4.000000,0.203871,5.149236
470.0000,4.000000,0.201019,5.138360
475.0000,4.000000,0.197999,5.127691
480.0000,4.000000,0.194861,5.117222
485.0000,4.000000,0.191605,5.106949
490.0000,4.000000,0.188235,5.096865
495.0000,4.000000,0.184774,5.086966
500.0000,4.000000,0.181221,5.077246
505.0000,4.000000,0.177596,5.067700
