PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
835.0000,4.000000,0.001125,4.674907
840.0000,4.000000,0.000912,4.671178
845.0000,4.000000,0.000745,4.667490
850.0000,4.000000,0.000620,4.663842
855.0000,4.000000,0.000535,4.660235
860.0000,4.000000,0.000488,4.656666
865.0000,4.000000,0.000476,4.653136
870.0000,4.000000,0.000497,4.649644
875.0000,4.000000,0.000547,4.646189
880.0000,4.000000,0.000626,4.642771
885.0000,4.000000,0.000730,4.639390
890.0000,4.000000,0.000858,4.636043
895.0000,4.000000,0.001005,4.632732
900.0000,4.000000,0.001170,4.629455
905.0000,4.000000,0.001348,4.626213
910.0000,4.000000,0.001536,4.623003
915.0000,4.000000,0.001720,4.619827
920.0000,4.000000,0.001879,4.616683
925.0000,4.000000,0.002086,4.613570
930.0000,4.000000,0.002302,4.610489
935.0000,4.000000,0.002523,4.607440
940.0000,4.000000,0.002746,4.604420
945.0000,4.000000,0.002970,4.601431
950.0000,4.000000,0.003194,4.598471
955.0000,4.000000,0.003415,4.595540
960.0000,4.000000,0.003633,4.592638
965.0000,4.000000,0.003846,4.589764
970.0000,4.000000,0.004052,4.586918
975.0000,4.000000,0.004250,4.584100
980.0000,4.000000,0.004440,4.581308
985.0000,4.000000,0.004619,4.578543
990.0000,4.000000,0.004786,4.575805
995.0000,4.000000,0.004942,4.573092
1000.0000,4.000000,0.005084,4.570405
